Название;Описание товара;Артикул товара;Бренд товара;Характеристика товара;Ссылка на изображение;Наличие товара;Цена;Каталог товара
Семена цветов астра Оксамит 0,3 г (GL SEEDS);Новинка! Сортотип Ёжиковидная. Роскошный высокодекоративный густомахровый сорт. Куст раскидистый, прочный, высотой 60-65 см. Соцветия темно-бордовой окраски диаметром 12-13 см, с длинными узкими язычковыми цветками, скрученными в трубочку. Центральный диск полностью закрыт. Один из лучших срезочных сортов. Непревзойденный сорт для клумб, цветников и букетов.;11327;GL Seeds;"Высота растения 60-65 см; Биологические особенности Однолетнее растение; Диаметр цветка 12-13 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14616.jpg;Нет в наличии;5,5;GL Seeds
Семена цветов астра Опал Фойер 0,3 г (GL SEEDS);Роскошный срезонный сорт. Растения букетной формы, цветоносы прочные. Соцветия густомахровые, крупные, диаметром 10-12 см, благородной карминно-красной окраски, блестящие. На растении одновременно цветут 8-12 соцветий. Для выращивания подходят хорошо освещенные участки с плодородной суглинистой или супесчаной почвой. Для срезки и оформления цветников.;11328;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14617.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Персидская 0,3 г (GL SEEDS);Нет описания;11329;GL Seeds;[];https://semena.market/images/product/463x463/14618.jpg;Нет в наличии;5,5;GL Seeds
Семена цветов астра Персиковая башня 0,3 г (GL SEEDS);Фирменная селекция. Сорт выведин в Германии. Группа пионовидные. Срезочные астры раннего срока цветения. Куст обратнопираминдальной формы, на упругих цветоносах до 10-12 густомахровых, плотных соцветий диаметром 8-10 см очень нежной окраски.;11330;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 8-10 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14619.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Пинг-Понг 0,3 г (GL SEEDS);Нет описания;11331;GL Seeds;"Высота растения 45-60 см; Биологические особенности Однолетнее растение; Диаметр цветка 5-6 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14620.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Принцесса Вероника 0,3 г (GL SEEDS);Сорт происходит из Западной Европы. Куст широкий, ветвистый, цветоносы прочные, длиной 60-70 см. В период массового цветения на одном кусте бывает до 15-20 одновременно раскрытых соцветий, расположенных по всей поверхности. Соцветия эффектного темно-синего цвета, густомахровые, плоско-округлой формы, диаметром 10-12 см. Используется для срезки в букеты и украшения цветников.;11332;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14621.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Пушинка 0,3 г (GL SEEDS);Очаровательное высокодекоративное растение с крупными белоснежными полусферическими, лёгкими, махровыми соцветиями игольчатого типа диаметром 12-14 см. Лепестки с изящным изгибом, скручены по длине и заворачиваются внутрь корзинки. Куст полураскидистый, формирует 8-10 прочных цветоносов. В букете долго сохраняет декоративные качества.;11333;GL Seeds;"Высота растения 60-70 см; Биологические особенности Двухлетнее растение; Диаметр цветка 12-14 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14623.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Роза Турм 0,3 г (GL SEEDS);Фирменная селекция. Сорт выведен в Германии. Куст компактный, колоновидной формы, высотой 60-70 см. Цветоносы упругие, длиной 25-30 см. В период массового цветения на растении одновременно распускаются 12-15 махровых соцветий оригинальной бело-сиренево-розовой окраски. Классический сорт для срезки в букеты и оформления цветников. Устойчив к неблагоприятным погодным условиям.;11334;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14625.jpg;Нет в наличии;5,5;GL Seeds
Семена цветов астра Рубин 0,2 г (GL SEEDS);Очаровательная астра с гигантскими соцветиями! Растение пирамидальной формы формирует 7-9 прочных цветоносов, высотой 65-75 см. Соцветия диаметром 14-16 см, рубиновые, с длинными игольчатыми лепестками, слегка закрученными по спирали. Используют для посадки в сборные цветники, на рабатки, для бордюров. Великолепный материал для срезки. Предпочитает открытое солнечное место, но выносит и полутень.;11335;GL Seeds;"Высота растения 65-75 см; Биологические особенности Однолетнее растение; Диаметр цветка 14-16 см; Упаковка Мини пакет; Фасовка 0,2 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14627.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Седая Дама красная 0,3 г (GL SEEDS);Эффектный срезочный сорт. Куст широкий, прочный, соцветия гранатово-красные с характерной белой каймой на лепестках, густомахровые, диаметром 12-13 см. Для групповых и одиночных посадок в различные цветники.;11336;GL Seeds;"Высота растения 50-60 см; Биологические особенности Однолетнее растение; Диаметр цветка 12-13 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14634.jpg;Нет в наличии;5,5;GL Seeds
Семена цветов астра Седая Дама розовая 0,3 г (GL SEEDS);Превосходная астра с необычно окрашенными соцветиями. Каждый лепесток имеет белое обрамление. Многочисленные побеги обеспечивают пышное и длительное цветение. Диаметр соцветия 10-12 см. Для всех видов цветников, контейнеров, срезки. ;11337;GL Seeds;"Высота растения 40-50 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14635.jpg;Нет в наличии;7;GL Seeds
Семена цветов астра Седая Дама синяя 0,3 г (GL SEEDS);Оригинальный срезочный сорт. Куст колоновидный с крепкими цветоносами. Соцветия крупные, пионовидные, тёмно-синие, с белой каймой на каждом лепестке, диаметром 10-12 см. Для групповых посадок, срезки. Длительно сохраняет декоративность.;11338;GL Seeds;"Высота растения 25-30 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14638.jpg;Нет в наличии;7;GL Seeds
Семена цветов астра Сердце Франции 0,3 г (GL SEEDS);Сортотип Пионовидные. Растения букетной формы, цветоносы прочные. Соцветия диаметром 8-10 см, густомахровые, блестящие, рубиново-красной окраски. Декоративность соцветиям придают длинные и широкие (0,8 см) язычковые цветки, полностью закрывающие центральный диск. Используется для срезки и оформления цветников. Устойчив к фузариозу, неблагоприятным погодным условиям.;11339;GL Seeds;"Высота растения 65-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 8-10 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14639.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Серебряная цапля 0,3 г (GL SEEDS);Куст компактный, колоновидный, прочный. Привлекают плотные, крупные, диаметром 12-14 см, густомахровые соцветия от молочно-белой до серебристой окраски в конце цветения. Декоративность соцветиям придают узкие, длинные язычковые цветки, расходящиеся радиально от центра к краю соцветия и загнутые на концах. Одновременно цветут 7-10 соцветий.;11340;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 12-14 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14640.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Сокровище Монтесумы 0,3 г (GL SEEDS);Растение колоновидной формы, высотой 60-70 см. Цветоносы прочные, соцветия плоско-округлой формы, плотные, диаметром 7 см, на растении формируется до 30 соцветий разнообразных окрасок. Светолюбива и холодостойка, переносит кратковременные заморозки. Требует питательных, хорошо увлажненных почв в первую половину лета. Используется для посадки в сборные цветники, группами на рабатки и для срезки.;11341;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 7 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14641.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра София 0,3 г (GL SEEDS);Группа Пионовидные. Ультраранний срезочный сорт. Растения формируют до 20 прочных упругих цветоносов. Соцветия очень оригинальной окраски: на белых язычковых лепестках - густой малиновый румянец. Цветы имеют необычную форму и окраску. На одном растении бывает разная степень насыщенности цвета. Диаметр соцветия 9-12 см. Великолепны для групповых посадок и срезки (можно срезать кустом).;11342;GL Seeds;"Высота растения 60-80 см; Биологические особенности Однолетнее растение; Диаметр цветка 9-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14643.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Супер Принцесса 0,3 г (GL SEEDS);Куст широкий, прочный, цветоносы длиной до 40 см. Соцветия плоско-округлые, диаметром 9-12 см, темно-бордового цвета, до 15 штук на растении. Язычковые цветки короткие, широкие, расположенные в 1-3 ряда по краю соцветия. Весь центр соцветия заполнен крупными трубчатыми цветками, окрашенными в тон язычковых. Используется для срезки в букеты и украшения цветников.;11343;GL Seeds;"Высота растения 40-50 см; Биологические особенности Однолетнее растение; Диаметр цветка 9-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14644.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра помпонная Суприм Биколор 0,3 г (GL SEEDS);Необычайно эффектный сорт с густомахровыми соцветиями темно-синей окраски с белым центром. Формирует компактный куст колоновидной формы с прочными цветоносами. Соцветия-помпончики достигают в диаметре 8 см.;11344;Нет бренда;"Высота растения 55-60 см; Биологические особенности Однолетнее растение; Диаметр цветка 7-8 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14628.jpg;Нет в наличии;5;Нет каталога
Семена цветов астра Фламир 0,3 г (GL SEEDS);Цветение начинается через 135-140 дней от посева и продолжается более 45 дней. Куст колоновидный, прочный. Соцветия густомахровые, диаметром до 12 см, около 10-15 шт на растении. Сорт устойчив к фузариозу.;11345;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14629.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Хай-Но-Мару 0,2 г (GL SEEDS);Оригинальная астра с густомахровыми цветками диаметром 5-6 см. Стебли крепкие, прямые, куст компактный, высотой до 50 см. Соцветия полусферические, красно-малиновые, с интенсивной белой каймой по краю.;11346;GL Seeds;"Высота растения 45-50 см; Биологические особенности Однолетнее растение; Диаметр цветка 5-6 см; Упаковка Мини пакет; Фасовка 0,2 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14630.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Шанхайская роза 0,3 г (GL SEEDS);Очень эффектный сорт с привлекательными соцветиями! Густые, махровые, крупные, нежные, жемчужно-розовые - все это прекрасно сочетается в соцветиях данного сорта астр. Высота растения составляет 60-70 см, имеет плотные цветоносы, позволяет цветку сохранять свою красоту в непогоду. Астра Шанхайская роза хорошо подходит для выращивания на срез. Изысканный букет сохраняет свою декоративность 2-3 недели.;11347;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14645.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Шиншилла 0,3 г (GL SEEDS);Эффектный оригинальный сортотип Краллен. Растения пирамидальной формы, цветоносы прочные, длиной 65-70 см. Соцветия округло-плоские, густомахровые, диаметром 10-11 см, очень декоративные. Язычковые цветки слажены по длине в трубки, слегка скручиваются по спирали. Окраска соцветий очень нежная - лососево-розовая. Сорт устойчив к фузариозу. Для оформления цветиков и на срезку.;11348;GL Seeds;"Высота растения 65-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14646.jpg;Нет в наличии;5;GL Seeds
Семена цветов астра Юлия 0,3 г (GL SEEDS);Куст компактный, прочный. На растении до 18 соцветий нежно-лимонной окраски, диаметром 5-7 см. Язычковые цветки широкие, средней длины. Цветоносы длиной 26-30 см. Сорт устойчив к фузариозу. Используют очень широко: для посадки в сборные цветники, на рабатки - рядами. В срезанном виде астра Юлия сохраняет свежесть до 3 недель.;11349;GL Seeds;"Высота растения 60-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 5-7 см; Упаковка Мини пакет; Фасовка 0,3 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14647.jpg;Нет в наличии;5;GL Seeds
Семена цветов бальзамин Камелия смесь 1 г (GL SEEDS);Прекрасное, однолетнее растение из семейства Бальзаминовых. В высоту может достигать около 30-40 см. Цветочки в диаметре около 4 см, довольно крупные, цветовые оттенки разнятся, как от ярко-фиолетового, так и до чисто белого. Зацветает в первой декаде июня и продолжает цвести до ранней осени (сентябрь месяц). Мороз или легкие заморозки не переносит.;11350;GL Seeds;"Высота растения 30-40 см; Биологические особенности Однолетнее растение; Диаметр цветка 4 см; Упаковка Мини пакет; Фасовка 1 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14665.jpg;Нет в наличии;6,5;GL Seeds
Семена цветов бархатцы Белый шар 0,1 г (GL SEEDS);Ванильно-белые махровые соцветия этого низкорослого сорта бархатцев будут украшать Ваш сад с июля до заморозков. Растение неприхотливое. Куст компактный, высотой 30-35 см. Соцветия крупные, диаметром до 12 см. Легко переносят пересадку в любом возрасте.;11351;GL Seeds;"Высота растения 30-35 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,1 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14650.jpg;Нет в наличии;7,5;GL Seeds
Семена цветов бархатцы Болеро 0,5 г (GL SEEDS);Нет описания;11352;GL Seeds;"Высота растения 25-30 см; Биологические особенности Однолетнее растение; Диаметр цветка 4-7 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14651.jpg;Нет в наличии;5;GL Seeds
Семена цветов бархатцы Бонито Кармен 0,5 г (GL SEEDS);Одно из самых распространенных однолетних, неприхотливых цветочных растений. Куст компактный, высотой до 25 см. Обильно цветет махровыми красно-коричневыми соцветиями, с желтой изящной полосой по краю лепестков и ярким желтым центром. Требует плодородных, хорошо увлажненных в первой половине лета почв, при этом  переувлажнения не любит. Засухоустойчив, заморозков не переносит. Используется для оформления клумб, рабаток, бордюров.;11353;GL Seeds;"Высота растения 20-25 см; Биологические особенности Однолетнее растение; Диаметр цветка 5 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14652.jpg;Нет в наличии;5;GL Seeds
Семена цветов бархатцы Гавайи 0,5 г (GL SEEDS);Сорт с махровыми, очень крупными соцветиям насыщенной оранжевой окраски, превосходен как на клумбах, так и в срезке. Цветет обильно и продолжительно все лето до первых заморозков. Устойчив к жаре.;11354;GL Seeds;"Высота растения 70-80 см; Биологические особенности Однолетнее растение; Диаметр цветка 8-10 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14653.jpg;Нет в наличии;4,5;GL Seeds
Семена цветов бархатцы Красная Брокада 0,5 г (GL SEEDS);Низкорослый, компактный сорт. Цветёт обильно всё лето до заморозков. Соцветия махровые, диаметром 5-6 см, блестящие, насыщенного красно-коричневого цвета, с оригинальным хохолком из трубчатых цветков. Предпочитает солнечное местоположение, плодородные, дренированные почвы. Используется для бордюров, украшения балконов, для создания ярких композиций на газонах.;11355;GL Seeds;"Высота растения 15-20 см; Биологические особенности Однолетнее растение; Диаметр цветка 5-6 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14654.jpg;Нет в наличии;5;GL Seeds
Семена цветов бархатцы Купидон-mix 0,2 г (GL SEEDS);Нет описания;11356;GL Seeds;[];https://semena.market/images/product/463x463/14655.jpg;Нет в наличии;5,5;GL Seeds
Семена цветов бархатцы Лунный свет 0,5 г (GL SEEDS);Растение однолетнее, высотой 70-80 см. Крупные (диаметр 8-12 см) махровые соцветия лимонного оттенка великолепны в любых цветниках, бордюрах, миксбордерах, особенно эффектно смотрятся в вечернее время суток. Цветение обильное и продолжительное. Растения с крепкими цветоносами, идеальны в срезке.;11357;GL Seeds;"Высота растения 70-80 см; Биологические особенности Однолетнее растение; Диаметр цветка 8-12 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14656.jpg;Нет в наличии;5;GL Seeds
Семена цветов бархатцы Мандарин 0,5 г (GL SEEDS);Компактные растения с красивыми густомахровыми соцветиями чистой, ярко-оранжевой окраски, великолепны в любых цветниках, вазонах, балконных ящиках. Быстрорастущий, теплолюбивый, засухоустойчивый сорт. Цветет обильно все лето до первых заморозков.;11358;GL Seeds;"Высота растения 20-25 см; Биологические особенности Однолетнее растение; Диаметр цветка 5-7 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14657.jpg;Нет в наличии;5;GL Seeds
Семена цветов бархатцы Сафари Голд 0,5 г (GL SEEDS);Сорт характеризуется ранним, обильным и продолжительным цветением. Куст очень компактный. Соцветия - крупные (диаметром до 5 см) корзинки, махровые, похожие на гвоздики с бахромчатыми лепестками, яркой золотисто-желтой окраски. Быстрорастущее растение, не требовательно к почве и влаге. Бархатцы сохраняют свою декоративность в течение всего лета.;11359;GL Seeds;"Высота растения 25-30 см; Биологические особенности Однолетнее растение; Диаметр цветка 5 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14658.jpg;Нет в наличии;5;GL Seeds
Семена цветов бархатцы Спрей Петит 0,5 г (GL SEEDS);Эту серию отличает компактность, обильное и продолжительное цветение. Плотные кустики усыпаны большим количеством соцветий оригинальной формы. Сохраняют яркость окрасок и привлекательность при любых неблагоприятных условиях. Используется в ландшафтном оформлении, эффектно выглядит в вазонах, контейнерах, балконных ящиках.;11360;GL Seeds;"Высота растения 20-25 см; Биологические особенности Однолетнее растение; Диаметр цветка 4-7 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14659.jpg;Нет в наличии;5;GL Seeds
Семена цветов бархатцы Старфайер-mix 0,15 г (GL SEEDS);Обильно цветущая смесь для ярких нарядных цветников. Растения с перисто-рассеченными листьями похожи на цветущие шары желто-лимонных, золотистых, коричнево-красных, оранжевых оттенков. Соцветия-корзинки диаметром 3 см. Засухоустойчивы.;11361;GL Seeds;"Высота растения 15-20 см; Биологические особенности Однолетнее растение; Диаметр цветка 3 см; Упаковка Мини пакет; Фасовка 0,15 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14664.jpg;Нет в наличии;6,5;GL Seeds
Семена цветов бархатцы Фантастик-mix 0,2 г (GL SEEDS);Компактный сорт с исключительно декоративными соцветиями, у которых одиночные цветки загибаются к центру корзинки. Роскошные оранжевые, желтые и золотистые густомахровые соцветия достигают диаметра 9-12 см.;11362;GL Seeds;"Высота растения 40-50 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,2 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14662.jpg;Нет в наличии;5,5;GL Seeds
Семена цветов бархатцы Фантастик Голд 0,25 г (GL SEEDS);Роскошные золотистые махровые соцветия будут украшать Ваш сад до самых заморозков. Куст прочный, высотой 65-70 см, соцветия яркие, золотистые, крупные, диаметром 8-11 см, густомахровые. Сорт устойчив к непогоде, прекрасно держит форму.;11363;GL Seeds;"Высота растения 65-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 8-11 см; Упаковка Мини пакет; Фасовка 0,25 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14660.jpg;Нет в наличии;7;GL Seeds
Семена цветов бархатцы Фантастик Оранж 0,25 г (GL SEEDS);Эти уникальные бархатцы украсят Ваш сад своими просто фантастическими густо-махровыми соцветиями. Растения образуют прочный куст, 65-70 см высотой. Соцветия крупные, диаметром 8-11 см, густомахровые, яркой оранжевой окраски.;11364;GL Seeds;"Высота растения 65-70 см; Биологические особенности Однолетнее растение; Диаметр цветка 8-11 см; Упаковка Мини пакет; Фасовка 0,25 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14661.jpg;Нет в наличии;7;GL Seeds
Семена цветов бархатцы Чемпион смесь 0,5 г (GL SEEDS);Красивый сорт с крупными, густомахровыми соцветиями с идеальным сочетанием ярких окрасок. Сохраняет привлекательность при любых погодных условиях. Теплолюбив, засухоустойчив, не требователен к почвам.;11365;GL Seeds;"Высота растения 20-25 см; Биологические особенности Однолетнее растение; Диаметр цветка 5-7 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14663.jpg;Нет в наличии;5;GL Seeds
Семена цветов брахикома Палермо 0,2 г (GL SEEDS);Очень грациозное, сильноветвистое растение с перисто-рассеченными листьями. Декоративные кустики с многочисленными белыми, фиолетовыми, розовыми цветками диаметром 3-3,5 см обильно цветут до самых заморозков.;11366;GL Seeds;"Высота растения 20-25 см; Биологические особенности Однолетнее растение; Диаметр цветка 3-3,5 см; Упаковка Мини пакет; Фасовка 0,2 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14666.jpg;Нет в наличии;6,5;GL Seeds
Семена цветов василек Голубой бриллиант 1 г (GL SEEDS);Привлекательный сорт. Растения холодостойкие, светолюбивые. На прямых стеблях распускаются цветы, диаметром до 5 см. Листья продолговато-ланцетные. Растение предпочитает питательные, рыхлые, дренированные почвы. Цветение обильное и длительное - с конца июня до заморозков. Используют для групповых посадок, миксбордеров, рокариев, а также служат хорошим украшением для букетов. Изящные букеты из васильков долго сохраняются свежими в воде.;11367;GL Seeds;"Высота растения 50-60 см; Биологические особенности Однолетнее растение; Диаметр цветка 5 см; Упаковка Мини пакет; Фасовка 1 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14667.jpg;Нет в наличии;5;GL Seeds
Семена цветов василек Розовый кристалл 0,5 г (GL SEEDS);Это всем известное неприхотливое растение прекрасно смотрится на клумбах, в смешанных и груповых посадках. Прекрасно сочетается в букетах с декоративными злаками. Ярко-розовые цветки собраны в махровые соцветия-корзинки, диаметром 4-5 см. Предпочитает открытые солнечные места.;11368;GL Seeds;"Высота растения 50-60 см; Биологические особенности Однолетнее растение; Диаметр цветка 4-5 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14668.jpg;Нет в наличии;4,5;GL Seeds
Семена цветов василек Фаворит 0,5 г (GL SEEDS);Одно из самых популярных клумбовых растений. Прекрасно выглядит в групповых и смешанных посадках, долго сохраняется при срезке. Цветки собраны в корзинки диаметром 5-7 см, листья перисто-раздельные с сизоватым оттенком.;11369;GL Seeds;"Высота растения 50-60 см; Биологические особенности Однолетнее растение; Диаметр цветка 5-7 см; Упаковка Мини пакет; Фасовка 0,5 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14669.jpg;Нет в наличии;4,5;GL Seeds
Семена цветов венидиум Принц Зулу смесь 0,15 г (GL SEEDS);Великолепный сорт с пышными крупными соцветиями диаметром 10-12 см на длинных цветоносах для любителей африканской экзотики. Благодаря яркой интересной окраске лепестков с несколькими переходами и кругами виден на больших расстояниях. Сохраняет декоративность в букетах 5-7 дней. Предпочитает солнечные участки. Не выносит переувлажнения!;11370;GL Seeds;"Высота растения 70-80 см; Биологические особенности Однолетнее растение; Диаметр цветка 10-12 см; Упаковка Мини пакет; Фасовка 0,15 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14671.jpg;Нет в наличии;5;GL Seeds
Семена цветов виола Диадема F1 0,1 г (GL SEEDS);Суперэффектный сорт с крупными цветками экзотической окраски и гофрированным краем. Верхние лепестки нежные, бело-кремовые или сиреневые, нижние – выдержаны в тёмно-красных, малиновых, фиолетовых тонах. Для ранне-весеннего оформления клумб, рабаток, в партерных посадках, подвесных корзинках, контейнерах, горшках.;11371;GL Seeds;"Высота растения 10-15 см; Биологические особенности Двухлетнее растение; Упаковка Мини пакет; Фасовка 0,1 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14679.jpg;Нет в наличии;8,5;GL Seeds
Семена цветов виола Долина Роз F1 0,1 г (GL SEEDS);Необычайно эффектное растение, формирующее прочные, компактные кустики высотой 12-15 см, усыпанные крупными, 6-8 см в диаметре цветками благородной карминно-красной окраски. Ровный габитус, улучшенная форма растений, раннее и обильное цветение позволяет широко использовать эту виолу в профессиональном плане, для посадки массивами на клумбы, рабатки, садовые вазы, балконные ящики.;11372;GL Seeds;"Высота растения 12-15 см; Биологические особенности Двухлетнее растение; Диаметр цветка 6-8 см; Упаковка Мини пакет; Фасовка 0,1 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14681.jpg;Нет в наличии;9;GL Seeds
Семена цветов виола Кассис F1 0,05 г (GL SEEDS);Компактное растение высотой 12-15 см, привлекающее внимание изысканной окраской – крупные темно-фиолетовые цветки с белой каймой по краю лепестков делают ее лидером продаж. Отличается обильным цветением.;11373;GL Seeds;"Высота растения 12-15 см; Биологические особенности Двухлетнее растение; Упаковка Мини пакет; Фасовка 0,05 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14821.jpg;Нет в наличии;9;GL Seeds
Семена цветов виола Красные крылья F1 0,1 г (GL SEEDS);Роскошные цветы с эффектным сочетанием насыщенных окрасок лепестков достигающих 6-8 см в диаметре. Отлично подходит для профессионального оформления цветников, бордюров, рокариев, выращивания в горшках и контейнерах.;11374;GL Seeds;"Высота растения 12-15 см; Биологические особенности Двухлетнее растение; Диаметр цветка 6-8 см; Упаковка Мини пакет; Фасовка 0,1 г; Торговая марка GL SEEDS";https://semena.market/images/product/463x463/14822.jpg;Нет в наличии;8,5;GL Seeds
